name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Buffers","LockedBuffers","LockedMemory","Memory"
"MatrixProfileLR<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/32768/32",10,561791,7812.5,us,,,,,,9,5,1.04858e+06,1.60563e+06
"MatrixProfileLR<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/65536/32",10,2.38982e+06,15625,us,,,,,,9,5,2.09715e+06,3.21126e+06
"MatrixProfileLR<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/131072/32",1,9.34682e+06,62500,us,,,,,,11,5,4.1943e+06,6.94682e+06
"MatrixProfileLR<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/16384/64",100,142890,3125,us,,,,,,9,5,524288,802816
"MatrixProfileLR<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/32768/64",10,570182,6250,us,,,,,,9,5,1.04858e+06,1.60563e+06
"MatrixProfileLR<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/65536/64",10,2.34211e+06,15625,us,,,,,,9,5,2.09715e+06,3.21126e+06
"MatrixProfileLR<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/131072/64",1,9.41455e+06,31250,us,,,,,,11,5,4.1943e+06,6.94682e+06
"MatrixProfileLR<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/16384/128",100,144825,2187.5,us,,,,,,9,5,524288,802816
"MatrixProfileLR<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/32768/128",10,562705,3125,us,,,,,,9,5,1.04858e+06,1.60563e+06
"MatrixProfileLR<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/65536/128",10,2.29637e+06,10937.5,us,,,,,,9,5,2.09715e+06,3.21126e+06
"MatrixProfileLR<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/131072/128",1,9.63782e+06,62500,us,,,,,,11,5,4.1943e+06,6.94682e+06
"MatrixProfileLR<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/16384/256",100,151094,3125,us,,,,,,9,5,522240,799744
"MatrixProfileLR<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/32768/256",10,569850,4687.5,us,,,,,,9,5,1.04653e+06,1.60256e+06
"MatrixProfileLR<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/65536/256",10,2.37937e+06,18750,us,,,,,,9,5,2.0951e+06,3.20819e+06
"MatrixProfileLR<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/131072/256",1,9.63067e+06,62500,us,,,,,,13,5,4.19226e+06,7.99027e+06
"MatrixProfileLR<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/16384/512",100,163046,2031.25,us,,,,,,9,5,516096,789504
"MatrixProfileLR<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/32768/512",10,604561,3125,us,,,,,,9,5,1.04038e+06,1.59232e+06
"MatrixProfileLR<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/65536/512",10,2.37971e+06,15625,us,,,,,,9,5,2.08896e+06,3.19795e+06
"MatrixProfileLR<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/131072/512",1,9.34088e+06,31250,us,,,,,,14,5,4.18611e+06,8.49818e+06
